Taille	TempsQuickSort	TempsMonTriHeap	TempsFusionTri
320	0.000095	0.000102	0.000095
321	0.000098	0.000102	0.000094
322	0.000100	0.000101	0.000102
323	0.000094	0.000099	0.000098
324	0.000097	0.000103	0.000102
325	0.000093	0.000125	0.000094
326	0.000090	0.000097	0.000093
327	0.000089	0.000095	0.000088
328	0.000090	0.000094	0.000091
329	0.000093	0.000095	0.000094
330	0.000097	0.000094	0.000097
331	0.000098	0.000095	0.000097
332	0.000093	0.000096	0.000099
333	0.000094	0.000096	0.000093
334	0.000095	0.000095	0.000090
335	0.000097	0.000096	0.000092
336	0.000094	0.000096	0.000098
337	0.000094	0.000097	0.000125
338	0.000091	0.000092	0.000096
339	0.000097	0.000096	0.000099
340	0.000097	0.000095	0.000088
341	0.000098	0.000099	0.000091
342	0.000098	0.000096	0.000090
343	0.000093	0.000095	0.000097
344	0.000091	0.000096	0.000095
345	0.000091	0.000095	0.000098
346	0.000089	0.000097	0.000098
347	0.000094	0.000095	0.000093
348	0.000091	0.000096	0.000092
349	0.000099	0.000098	0.000090
350	0.000095	0.000117	0.000101
351	0.000092	0.000095	0.000094
352	0.000090	0.000095	0.000095
353	0.000098	0.000092	0.000095
354	0.000099	0.000093	0.000090
355	0.000093	0.000094	0.000108
356	0.000139	0.000118	0.000095
357	0.000095	0.000097	0.000103
358	0.000105	0.000119	0.000151
359	0.000129	0.000119	0.000100
360	0.000096	0.000096	0.000089
361	0.000099	0.000096	0.000091
362	0.000111	0.000096	0.000090
363	0.000091	0.000097	0.000091
364	0.000095	0.000097	0.000097
365	0.000094	0.000104	0.000096
366	0.000101	0.000099	0.000097
367	0.000097	0.000101	0.000095
368	0.000109	0.000100	0.000095
369	0.000097	0.000097	0.000093
370	0.000099	0.000101	0.000100
371	0.000098	0.000098	0.000098
372	0.000105	0.000100	0.000100
373	0.000103	0.000099	0.000093
374	0.000111	0.000121	0.000092
375	0.000095	0.000099	0.000090
376	0.000105	0.000099	0.000114
377	0.000099	0.000099	0.000097
378	0.000104	0.000098	0.000094
379	0.000099	0.000101	0.000096
380	0.000101	0.000098	0.000092
381	0.000102	0.000098	0.000092
382	0.000099	0.000098	0.000089
383	0.000098	0.000100	0.000096
384	0.000102	0.000102	0.000097
385	0.000104	0.000100	0.000099
386	0.000104	0.000127	0.000092
387	0.000103	0.000097	0.000094
388	0.000098	0.000098	0.000089
389	0.000108	0.000099	0.000096
390	0.000100	0.000100	0.000096
391	0.000098	0.000098	0.000097
392	0.000102	0.000101	0.000094
393	0.000111	0.000099	0.000091
394	0.000108	0.000104	0.000092
395	0.000107	0.000100	0.000097
396	0.000103	0.000102	0.000099
397	0.000111	0.000100	0.000100
398	0.000115	0.000108	0.000094
399	0.000106	0.000097	0.000098
400	0.000111	0.000100	0.000097
401	0.000107	0.000101	0.000098
402	0.000104	0.000102	0.000100
403	0.000103	0.000100	0.000101
404	0.000106	0.000103	0.000096
405	0.000110	0.000101	0.000097
406	0.000112	0.000103	0.000097
407	0.000105	0.000104	0.000102
408	0.000106	0.000103	0.000102
409	0.000109	0.000104	0.000103
410	0.000129	0.000100	0.000095
411	0.000109	0.000099	0.000093
412	0.000107	0.000098	0.000094
413	0.000103	0.000101	0.000100
414	0.000113	0.000099	0.000099
415	0.000106	0.000099	0.000098
416	0.000113	0.000101	0.000096
417	0.000121	0.000110	0.000105
418	0.000126	0.000101	0.000102
419	0.000109	0.000103	0.000101
420	0.000111	0.000103	0.000103
421	0.000117	0.000104	0.000131
422	0.000105	0.000101	0.000095
423	0.000111	0.000100	0.000094
424	0.000105	0.000100	0.000131
425	0.000118	0.000099	0.000102
426	0.000115	0.000101	0.000097
427	0.000108	0.000105	0.000097
428	0.000112	0.000100	0.000094
429	0.000111	0.000101	0.000095
430	0.000112	0.000102	0.000100
431	0.000105	0.000101	0.000101
432	0.000114	0.000102	0.000100
433	0.000135	0.000115	0.000098
434	0.000117	0.000102	0.000096
435	0.000111	0.000103	0.000101
436	0.000114	0.000103	0.000101
437	0.000113	0.000103	0.000102
438	0.000114	0.000104	0.000097
439	0.000114	0.000104	0.000098
440	0.000116	0.000104	0.000097
441	0.000113	0.000107	0.000124
442	0.000130	0.000104	0.000104
443	0.000117	0.000106	0.000097
444	0.000118	0.000134	0.000098
445	0.000120	0.000104	0.000118
